date,CCI
2020-01-14 10:20:00,58.8001
2020-01-14 10:21:00,33.0097
2020-01-14 10:22:00,41.0745
2020-01-14 10:23:00,48.717
2020-01-14 10:24:00,31.7657
2020-01-14 10:25:00,44.9523
2020-01-14 10:26:00,68.3667
2020-01-14 10:27:00,68.9475
2020-01-14 10:28:00,71.5863
2020-01-14 10:29:00,89.101
2020-01-14 10:30:00,89.8893
2020-01-14 10:31:00,103.7745
2020-01-14 10:32:00,122.0611
2020-01-14 10:33:00,142.7011
2020-01-14 10:34:00,140.5794
2020-01-14 10:35:00,136.5918
2020-01-14 10:36:00,125.3907
2020-01-14 10:37:00,111.6109
2020-01-14 10:38:00,98.1629
2020-01-14 10:39:00,89.5181
2020-01-14 10:40:00,100.1149
2020-01-14 10:41:00,87.764
2020-01-14 10:42:00,67.6951
2020-01-14 10:43:00,62.8219
2020-01-14 10:44:00,65.9608
2020-01-14 10:45:00,68.1758
2020-01-14 10:46:00,53.4131
2020-01-14 10:47:00,34.7541
2020-01-14 10:48:00,22.2895
2020-01-14 10:49:00,21.6457
2020-01-14 10:50:00,-10.3418
2020-01-14 10:51:00,-33.8874
2020-01-14 10:52:00,-42.8187
2020-01-14 10:53:00,-66.5569
2020-01-14 10:54:00,-74.0324
2020-01-14 10:55:00,-63.4877
2020-01-14 10:56:00,-81.1453
2020-01-14 10:57:00,-63.4816
2020-01-14 10:58:00,-33.5741
2020-01-14 10:59:00,-29.4163
2020-01-14 11:00:00,-30.1074
2020-01-14 11:01:00,-26.0255
2020-01-14 11:02:00,-8.6957
2020-01-14 11:03:00,-33.101
2020-01-14 11:04:00,-27.2713
2020-01-14 11:06:00,-41.0926
2020-01-14 11:07:00,-15.5357
2020-01-14 11:08:00,-16.2976
2020-01-14 11:09:00,-26.6678
2020-01-14 11:10:00,-39.6492
2020-01-14 11:11:00,-58.5288
2020-01-14 11:12:00,-61.9404
2020-01-14 11:13:00,-68.7294
2020-01-14 11:14:00,-76.073
2020-01-14 11:15:00,-89.3046
2020-01-14 11:16:00,-83.6476
2020-01-14 11:17:00,-89.8539
2020-01-14 11:18:00,-77.2838
2020-01-14 11:19:00,-71.4534
2020-01-14 11:20:00,-64.193
2020-01-14 11:21:00,-63.2161
2020-01-14 11:22:00,-110.9814
2020-01-14 11:23:00,-110.9691
2020-01-14 11:24:00,-71.0348
2020-01-14 11:25:00,-72.3427
2020-01-14 11:26:00,-56.6999
2020-01-14 11:27:00,-81.1353
2020-01-14 11:28:00,-78.0623
2020-01-14 11:29:00,-81.9518
2020-01-14 11:30:00,-86.1944
2020-01-14 11:31:00,-92.1091
2020-01-14 11:32:00,-90.5145
2020-01-14 11:33:00,-94.3002
2020-01-14 11:34:00,-103.4245
2020-01-14 11:35:00,-93.2418
2020-01-14 11:36:00,-75.9499
2020-01-14 11:37:00,-58.1366
2020-01-14 11:38:00,-54.0927
2020-01-14 11:39:00,-43.5846
2020-01-14 11:40:00,-24.3254
2020-01-14 11:41:00,-47.6448
2020-01-14 11:42:00,-92.744
2020-01-14 11:43:00,-138.1662
2020-01-14 11:44:00,-154.6078
2020-01-14 11:45:00,-168.1358
2020-01-14 11:46:00,-125.979
2020-01-14 11:47:00,-68.6177
2020-01-14 11:48:00,-54.2606
2020-01-14 11:49:00,-46.4665
2020-01-14 11:50:00,-43.4559
2020-01-14 11:51:00,17.293
2020-01-14 11:52:00,64.8191
2020-01-14 11:53:00,59.663
2020-01-14 11:54:00,41.2936
2020-01-14 11:55:00,63.8312
2020-01-14 11:56:00,114.0732
2020-01-14 11:57:00,112.1942
2020-01-14 11:58:00,132.492
2020-01-14 11:59:00,171.7122
2020-01-14 12:00:00,225.5541
2020-01-14 12:01:00,187.1536
2020-01-14 12:02:00,178.2079
2020-01-14 12:03:00,183.4287
2020-01-14 12:04:00,168.8033
2020-01-14 12:05:00,139.6919
2020-01-14 12:06:00,132.2351
2020-01-14 12:07:00,101.1771
2020-01-14 12:08:00,69.5337
2020-01-14 12:09:00,93.0435
2020-01-14 12:10:00,93.4443
2020-01-14 12:11:00,73.0384
2020-01-14 12:12:00,70.1229
2020-01-14 12:13:00,77.5502
2020-01-14 12:14:00,42.9424
2020-01-14 12:15:00,27.3774
2020-01-14 12:16:00,11.2841
2020-01-14 12:17:00,-10.792
2020-01-14 12:18:00,-25.8545
2020-01-14 12:19:00,-21.6648
2020-01-14 12:20:00,-15.8726
2020-01-14 12:21:00,-12.2898
2020-01-14 12:22:00,-16.6223
2020-01-14 12:23:00,-2.9794
2020-01-14 12:24:00,4.7431
2020-01-14 12:25:00,4.4558
2020-01-14 12:26:00,5.0332
2020-01-14 12:27:00,-13.5663
2020-01-14 12:28:00,-44.0621
2020-01-14 12:29:00,-57.9629
2020-01-14 12:30:00,-75.9866
2020-01-14 12:31:00,-67.442
2020-01-14 12:32:00,-78.4886
2020-01-14 12:33:00,-88.9524
2020-01-14 12:34:00,-77.8418
2020-01-14 12:35:00,-94.5287
2020-01-14 12:36:00,-101.0772
2020-01-14 12:37:00,-78.8312
2020-01-14 12:38:00,-54.541
2020-01-14 12:39:00,-41.3405
2020-01-14 12:40:00,-38.7494
2020-01-14 12:41:00,-50.9528
2020-01-14 12:42:00,-79.0837
2020-01-14 12:43:00,-101.2909
2020-01-14 12:44:00,-105.2417
2020-01-14 12:45:00,-99.337
2020-01-14 12:46:00,-97.403
2020-01-14 12:47:00,-100.4461
2020-01-14 12:48:00,-121.2572
2020-01-14 12:49:00,-124.0025
2020-01-14 12:50:00,-141.5807
2020-01-14 12:51:00,-157.3043
2020-01-14 12:52:00,-135.5911
2020-01-14 12:53:00,-121.5979
2020-01-14 12:54:00,-122.8698
2020-01-14 12:55:00,-119.2999
2020-01-14 12:56:00,-118.0613
2020-01-14 12:57:00,-117.7738
2020-01-14 12:58:00,-136.4971
2020-01-14 12:59:00,-123.9689
2020-01-14 13:00:00,-117.776
2020-01-14 13:01:00,-83.396
2020-01-14 13:02:00,-41.29
2020-01-14 13:03:00,-15.3784
2020-01-14 13:04:00,-12.4718
2020-01-14 13:05:00,-34.9085
2020-01-14 13:06:00,-47.1527
2020-01-14 13:07:00,-31.7087
2020-01-14 13:08:00,18.4118
2020-01-14 13:09:00,53.4222
2020-01-14 13:10:00,33.7002
2020-01-14 13:11:00,34.788
2020-01-14 13:12:00,-6.0861
2020-01-14 13:13:00,-16.2465
2020-01-14 13:14:00,-26.0432
2020-01-14 13:15:00,-38.3132
2020-01-14 13:16:00,-19.4057
2020-01-14 13:17:00,38.8677
2020-01-14 13:18:00,44.8931
2020-01-14 13:19:00,41.2222
2020-01-14 13:20:00,24.5252
2020-01-14 13:21:00,39.1946
2020-01-14 13:22:00,32.2911
2020-01-14 13:23:00,23.012
2020-01-14 13:24:00,35.5225
2020-01-14 13:25:00,18.2571
2020-01-14 13:26:00,24.1103
2020-01-14 13:27:00,58.0416
2020-01-14 13:28:00,90.0954
2020-01-14 13:29:00,152.8781
2020-01-14 13:30:00,153.6128
2020-01-14 13:31:00,200.6713
2020-01-14 13:32:00,218.4476
2020-01-14 13:33:00,226.7355
2020-01-14 13:34:00,191.77
2020-01-14 13:35:00,205.1844
2020-01-14 13:36:00,180.4822
2020-01-14 13:37:00,-80.3545
2020-01-14 13:38:00,-213.852
2020-01-14 13:39:00,-128.8361
2020-01-14 13:44:00,-335.8471
2020-01-14 13:45:00,-296.7166
2020-01-14 13:46:00,-279.9305
2020-01-14 13:47:00,-239.077
2020-01-14 13:48:00,-221.819
2020-01-14 13:49:00,-226.3282
2020-01-14 13:50:00,-167.4482
2020-01-14 13:51:00,-133.3352
2020-01-14 13:52:00,-144.6345
2020-01-14 13:53:00,-187.0955
2020-01-14 13:54:00,-184.7927
2020-01-14 13:55:00,-203.38
2020-01-14 13:56:00,-258.3914
2020-01-14 13:57:00,-177.3967
2020-01-14 13:58:00,-149.1649
2020-01-14 13:59:00,-142.4797
2020-01-14 14:00:00,-146.1989
